Issue Type,Summary,Description,Story Points,Labels,Component,Epic Link,Phase
Story,"WCAG Critical fixes: font scaling, browse-card descriptions, advanced-search labels",Replace 102+ hardcoded pt font sizes with sp-based dimen resources and create a typography style sheet. Add dynamic contentDescription to browse-card icons and cover art. Fix the label/hint pattern on all 13 advanced-search fields. See stories/D-1_WCAG_Critical_Fixes.md for full acceptance criteria.,5,accessibility,"layout resources, ui/fragment",E-D — Accessibility,0
Story,"WCAG Phase 1 fixes: contrast, tap targets, captions, custom-view accessibility, highlight colours",Replace semi-transparent text colours with opaque theme tokens meeting WCAG contrast ratios. Increase tap targets on audiobook controls and bookmark delete to 48x48 dp. Add a caption-toggle button to the video player. Implement accessibility on SimpleRatingBar and FavoriteButton. Replace highlight-colour generic descriptions with colour names. See stories/D-2_WCAG_Phase1_Fixes.md for full acceptance criteria.,5,accessibility,"ui/widget, layout resources, audiobook_player, video_player",E-D — Accessibility,1
Story,"WCAG Phase 2 fixes: focus ordering, SeekBar announcements, error messages, gesture alternatives","Add explicit focus ordering to multi-element forms. Fix touch_interceptor focus consumption. Add dynamic value announcements to audiobook and ebook SeekBars. Audit strings.xml for generic error messages and replace with specific, actionable messages. Verify ebook page-turn gesture alternatives. See stories/D-3_WCAG_Phase2_Fixes.md for full acceptance criteria.",5,accessibility,"layout resources, ui/fragment, task/v2",E-D — Accessibility,2
Story,Extract bean/ data models into KMP shared module,Convert all 132 data-model classes in bean/ to Kotlin data classes in a KMP shared module. Replace implicit Gson contracts with explicit kotlinx.serialization annotations. Confirm v4/ is the only active API version. Verify compilation for JVM and iOS targets. See stories/A-1_KMP_Extract_Bean_Models.md for full acceptance criteria.,8,kmp,bean,E-A — KMP Shared Module,1
Story,Extract webservices/ HTTP client and parsers into KMP shared module,"Extract OkHttp client setup, all manager interfaces, and ~45 response parsers into the shared module. Audit GatewayWSManager for dead endpoints and remove them. Replace Gson with kotlinx.serialization. Verify compilation for both targets. See stories/A-2_KMP_Extract_Webservices.md for full acceptance criteria.",13,kmp,webservices,E-A — KMP Shared Module,1
Story,Port auth/ token management into KMP shared module,"Port AuthenticationManagerImpl logic to the shared module. Define a TokenStore interface; provide the Android SharedPreferences-backed implementation. Wire the shared HTTP client. Verify token validation, refresh, and account sync end-to-end. See stories/A-3_KMP_Extract_Auth.md for full acceptance criteria.",5,"kmp, security",auth,E-A — KMP Shared Module,1
Story,KMP wave 2: extract controller logic and util/ validators,"After all controllers are coroutine-native (wave-2 ViewModels stable), identify and extract the pure-logic subset into the shared module. Extract util/ validators (email, domain, regex, date). Achieve 80 % unit-test coverage. Publish a boundary document. See stories/A-4_KMP_Wave2_Extract_Logic.md for full acceptance criteria.",8,kmp,"controller, util",E-A — KMP Shared Module,2
Story,Replace AsyncTask with coroutines in top-10 controllers,Replace AsyncTaskManager and ControllerWSAsyncTask usage in the top-10 controllers with coroutine-based equivalents. Convert network calls to suspend functions. Write a coroutine-pattern document. Verify all flows pass regression. See stories/B-1_Coroutines_Top10_Controllers.md for full acceptance criteria.,13,"modernization, architecture","controller, task/v2",E-B — Android Modernization,1
Story,Introduce Repository layer for five domains,"Define Repository interfaces for History, Policy, Patron, Playback, and Search. Implement each, routing calls through the shared HTTP client or the existing manager layer. Update top-10 controllers to use Repositories. Write unit tests per Repository. See stories/B-2_Repository_Layer.md for full acceptance criteria.",8,"modernization, architecture","controller, webservices, sqlite",E-B — Android Modernization,1
Story,"Introduce ViewModels for wave-1 screens (Home, TitleDetails, Search, AudiobookPlayer)",Introduce ViewModels for the four highest-traffic screens. Move state and coroutine launches into ViewModels. Expose state via LiveData/StateFlow. Define sealed UiState classes. Delete the four corresponding Controller and Callback classes. See stories/B-3_ViewModels_Wave1.md for full acceptance criteria.,13,"modernization, architecture","controller, ui/activity, ui/fragment",E-B — Android Modernization,1
Story,Migrate main-process SQLite tables to Room,"Create Room entities and DAOs for bookmarks, playback positions, and patron data. Write migration scripts to preserve existing data. Wire through Repositories. Remove all synchronous getWritableDatabase() calls for the three tables. See stories/B-4_Room_Migration_Main.md for full acceptance criteria.",8,"modernization, room","sqlite, dao",E-B — Android Modernization,1
Story,Adopt Navigation Component for HomeActivity fragment graph,Define a nav graph covering all fragments reachable from HomeActivity. Replace manual fragment transactions. Verify back-stack behaviour and deep-link resolution. See stories/B-5_Navigation_Component.md for full acceptance criteria.,8,"modernization, navigation","ui/activity, ui/fragment",E-B — Android Modernization,1
Story,Audit and consolidate ui8/ legacy package,Audit all 10 classes in ui8/ for reachability. Delete unreachable classes. Migrate reachable screens into ui/. Verify no references to ui8/ remain. See stories/B-6_UI8_Consolidation.md for full acceptance criteria.,3,"modernization, refactor",ui8,E-B — Android Modernization,1
Story,ViewModels wave 2: planning and batch orchestration,Assign all 55+ remaining screens to six batches grouped by feature area. Get architect approval on sequencing. Confirm the pattern document from wave 1 is sufficient. Set up a completion tracker. See stories/B-7_ViewModels_Wave2_Parent.md for full acceptance criteria.,3,"modernization, architecture","controller, ui",E-B — Android Modernization,2
Story,ViewModels wave 2: batch 1,Introduce ViewModels for the ~9 screens in batch 1 (defined in B-7). Delete corresponding Controllers and Callbacks. Verify rotation survival and regression. See stories/B-8_ViewModels_Wave2_Batch1.md for full acceptance criteria.,8,modernization,"controller, ui",E-B — Android Modernization,2
Story,ViewModels wave 2: batch 2,Introduce ViewModels for the ~9 screens in batch 2 (defined in B-7). Delete corresponding Controllers and Callbacks. Verify rotation survival and regression. See stories/B-9_ViewModels_Wave2_Batch2.md for full acceptance criteria.,8,modernization,"controller, ui",E-B — Android Modernization,2
Story,ViewModels wave 2: batch 3,Introduce ViewModels for the ~9 screens in batch 3 (defined in B-7). Delete corresponding Controllers and Callbacks. Verify rotation survival and regression. See stories/B-10_ViewModels_Wave2_Batch3.md for full acceptance criteria.,8,modernization,"controller, ui",E-B — Android Modernization,2
Story,ViewModels wave 2: batch 4,Introduce ViewModels for the ~9 screens in batch 4 (defined in B-7). Delete corresponding Controllers and Callbacks. Verify rotation survival and regression. See stories/B-11_ViewModels_Wave2_Batch4.md for full acceptance criteria.,8,modernization,"controller, ui",E-B — Android Modernization,2
Story,ViewModels wave 2: batch 5,Introduce ViewModels for the ~9 screens in batch 5 (defined in B-7). Delete corresponding Controllers and Callbacks. Verify rotation survival and regression. See stories/B-12_ViewModels_Wave2_Batch5.md for full acceptance criteria.,8,modernization,"controller, ui",E-B — Android Modernization,2
Story,ViewModels wave 2: batch 6,Introduce ViewModels for the ~9 screens in batch 6 (defined in B-7). Delete corresponding Controllers and Callbacks. Verify rotation survival and regression. Verify zero Controller/Callback classes remain codebase-wide after this batch. See stories/B-13_ViewModels_Wave2_Batch6.md for full acceptance criteria.,8,modernization,"controller, ui",E-B — Android Modernization,2
Story,Migrate leaf screens to Jetpack Compose,"Migrate Settings, Help, Registration, and AcceptPolicy to Compose. Define design-system tokens (colours, typography, spacing). Implement light/dark theming. Wire Navigation Component. Remove all legacy Fragment/View code for these screens. See stories/B-14_Compose_Leaf_Screens.md for full acceptance criteria.",8,"modernization, compose","ui/activity, ui/fragment",E-B — Android Modernization,2
Story,Migrate core screens to Jetpack Compose,"Migrate Home, Browse, TitleDetails, and Search to Compose. Use design-system tokens from the leaf-screen migration. Run frame-rate and cold-start regression tests. Verify visual fidelity against approved screenshots. See stories/B-15_Compose_Core_Screens.md for full acceptance criteria.",13,"modernization, compose","ui/activity, ui/fragment",E-B — Android Modernization,2
Story,Migrate Room to the Downloads process,"Evaluate Room multi-process support, shared-file-with-locking, and file-based-queue approaches. Document the decision as an ADR. Implement the chosen approach for download-queue and renew tables. Write migration scripts and integration tests covering the full download lifecycle. See stories/B-16_Room_Downloads_Process.md for full acceptance criteria.",8,"modernization, room","download, sqlite",E-B — Android Modernization,2
Story,Leanback / TV modernization,"Evaluate Compose TV vs. continued Leanback and document as an ADR. Migrate Home, Search, and Playback TV screens on the chosen framework. Account for all 8 TV activities. Verify D-pad navigation. Regression-test on a physical TV device or emulator. See stories/B-17_Leanback_TV.md for full acceptance criteria.",13,modernization,ui (TV activities),E-B — Android Modernization,2
Story,Performance optimisation,"Profile APK size (currently 12 MB), cold-start time, and memory usage. Remove unused native libs, dead Dagger classes, and other artifacts surfaced by profiling. Establish and meet cold-start and memory targets. See stories/B-18_Performance_Optimisation.md for full acceptance criteria.",5,"performance, refactor",app,E-B — Android Modernization,2
